Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
21730,1.31,Very Good,F,VS1,59.1,60.0,9797,7.13,7.18,4.23
19704,0.37,Premium,F,SI2,60.2,60.0,624,4.7,4.6,2.8
13598,1.18,Very Good,G,SI2,62.4,56.0,5562,6.8,6.83,4.25
33951,0.23,Very Good,F,VVS2,61.3,60.0,465,3.98,4.01,2.45
47624,0.55,Premium,E,VS2,60.5,58.0,1881,5.32,5.26,3.2
25667,2.09,Premium,H,SI2,61.4,60.0,14581,8.24,8.2,5.05
26357,0.32,Ideal,G,VS1,61.3,55.0,645,4.42,4.46,2.72
4058,0.36,Ideal,G,SI1,61.1,55.0,571,4.58,4.62,2.81
9619,0.93,Ideal,H,SI1,62.4,55.0,4635,6.2,6.24,3.88
19390,1.51,Very Good,J,VS1,61.4,57.0,8057,7.3,7.38,4.51
22033,0.34,Ideal,H,SI1,60.7,56.0,628,4.58,4.52,2.76
36575,0.35,Ideal,E,VS1,61.3,55.0,945,4.58,4.55,2.8
13167,1.07,Ideal,G,SI1,61.9,55.0,5444,6.62,6.57,4.08
14971,1.25,Ideal,H,SI2,61.6,55.0,6030,6.89,6.94,4.26
24209,1.63,Premium,F,SI1,59.7,62.0,12394,7.73,7.65,4.59
18745,1.24,Premium,G,VS1,62.0,59.0,7660,6.88,6.92,4.28
11408,1.01,Very Good,I,SI2,63.4,57.0,5000,6.3,6.39,4.02
13695,1.0,Very Good,G,VS2,63.3,60.0,5600,6.37,6.29,4.01
17188,1.02,Very Good,D,SI1,60.3,56.0,6863,6.55,6.57,3.96
33399,0.32,Ideal,D,VS2,61.0,56.0,828,4.41,4.44,2.7
33920,0.47,Good,E,SI2,56.5,62.0,844,5.17,5.09,2.9
43677,0.5,Ideal,F,VS2,62.5,57.0,1436,5.07,5.11,3.18
18199,1.23,Ideal,H,VVS2,61.3,55.0,7387,6.9,6.94,4.24
46613,0.51,Ideal,D,VS2,62.7,55.0,1787,5.09,5.12,3.2
37266,0.28,Ideal,H,VS1,62.3,55.0,481,4.21,4.24,2.63
26681,0.3,Very Good,J,VS1,59.5,60.0,427,4.39,4.45,2.63
29773,0.3,Premium,I,VVS1,61.1,59.0,709,4.33,4.31,2.64
11298,1.16,Premium,H,SI2,62.6,57.0,4979,6.75,6.67,4.2
30069,0.32,Ideal,G,VS2,60.3,57.0,720,4.46,4.43,2.68
34820,0.3,Premium,H,VVS1,62.3,58.0,878,4.32,4.29,2.68
42055,0.38,Ideal,D,VVS1,60.7,57.0,1270,4.69,4.74,2.86
42388,0.6,Good,J,VS1,58.9,60.5,1306,5.5,5.57,3.26
47773,0.51,Good,G,VVS2,63.7,54.0,1895,5.1,5.08,3.24
46286,0.59,Ideal,E,VS2,61.4,56.0,1755,5.33,5.42,3.3
3206,0.73,Ideal,D,VS2,61.5,57.0,3346,5.81,5.83,3.58
10649,1.01,Good,H,SI1,63.7,60.0,4836,6.35,6.3,4.03
16704,0.32,Ideal,J,VS1,61.3,57.0,421,4.41,4.43,2.71
35726,0.3,Ideal,D,VS2,61.9,57.0,911,4.33,4.29,2.67
18771,1.53,Very Good,J,VS1,59.5,60.0,7677,7.55,7.65,4.52
29690,0.4,Very Good,E,SI1,62.8,59.0,707,4.7,4.73,2.96
53628,0.3,Very Good,D,SI1,61.3,60.0,552,4.26,4.32,2.63
20878,2.02,Fair,J,SI2,67.5,59.0,9095,7.76,7.65,5.2
38677,0.3,Ideal,D,VVS2,61.4,55.0,1041,4.34,4.36,2.67
16614,1.2,Ideal,I,VS1,62.5,55.0,6639,6.76,6.81,4.24
15722,1.04,Ideal,G,VS2,61.9,57.0,6290,6.5,6.46,4.01
39141,0.41,Premium,G,VS2,61.7,61.0,1061,4.74,4.7,2.91
31911,0.3,Ideal,G,VS1,62.6,57.0,776,4.29,4.27,2.68
16173,1.0,Good,G,VS1,63.6,59.0,6465,6.34,6.3,4.02
42781,0.41,Premium,D,VVS1,62.2,58.0,1349,4.71,4.77,2.95
13496,0.7,Ideal,D,VVS2,61.4,56.0,5539,5.72,5.75,3.53
37115,0.33,Ideal,E,VVS2,60.0,56.0,970,4.53,4.56,2.72
50042,0.81,Premium,J,SI1,61.8,57.0,2199,6.02,5.96,3.7
33760,0.4,Very Good,G,SI1,63.1,56.0,840,4.75,4.72,2.99
7450,1.02,Ideal,H,SI1,63.0,57.0,4233,6.36,6.3,3.99
33628,0.33,Premium,E,SI2,59.7,58.0,463,4.48,4.53,2.69
33825,0.32,Ideal,G,VVS1,62.2,55.0,842,4.38,4.4,2.73
29649,0.35,Ideal,F,VS2,60.8,57.0,706,4.52,4.56,2.76
28321,0.33,Very Good,G,VS1,62.8,58.0,666,4.38,4.41,2.76
52901,0.73,Ideal,G,VS2,62.5,56.0,2586,5.78,5.74,3.6
26253,2.18,Ideal,I,SI2,62.5,55.0,15706,8.31,8.34,5.2
8604,1.07,Ideal,H,SI2,61.8,56.0,4442,6.58,6.63,4.08
51195,0.81,Premium,J,VS1,61.7,61.0,2350,5.94,5.9,3.65
20884,1.73,Premium,J,SI1,60.7,58.0,9105,7.73,7.78,4.71
50722,0.71,Premium,I,VS2,62.1,59.0,2294,5.7,5.73,3.55
36884,0.4,Very Good,E,VS1,62.9,56.0,959,4.67,4.71,2.95
22324,1.26,Premium,E,VS1,60.7,58.0,10367,7.02,7.04,4.27
41731,0.41,Ideal,E,VVS2,61.0,56.0,1243,4.82,4.79,2.93
29596,0.35,Ideal,F,VS2,62.4,55.0,706,4.51,4.53,2.82
13842,1.23,Ideal,H,SI2,61.4,54.0,5641,6.95,6.94,4.26
31773,0.32,Premium,F,VS2,59.7,62.0,773,4.43,4.38,2.63
17288,1.12,Very Good,F,VS2,62.0,58.0,6925,6.63,6.69,4.13
43889,0.52,Ideal,I,VVS1,60.1,56.0,1454,5.24,5.27,3.16
3565,0.86,Fair,G,VS2,66.5,54.1,3418,5.89,5.97,3.94
8434,1.08,Very Good,F,SI2,62.6,56.0,4407,6.55,6.61,4.12
6480,1.02,Premium,F,SI2,61.1,62.0,4057,6.54,6.49,3.98
990,0.77,Ideal,D,SI2,62.1,56.0,2896,5.83,5.89,3.64
38782,0.31,Premium,H,IF,60.5,58.0,1046,4.44,4.38,2.67
29747,0.43,Ideal,J,SI1,61.9,54.0,708,4.88,4.84,3.01
16058,1.27,Premium,I,VS1,62.2,59.0,6415,6.87,6.92,4.29
29562,0.41,Good,E,SI1,63.6,58.0,705,4.72,4.74,3.01
34132,0.32,Ideal,F,VVS1,61.3,55.0,854,4.42,4.45,2.72
44699,0.6,Ideal,E,SI1,60.6,57.0,1613,5.43,5.47,3.3
40270,0.33,Ideal,D,SI2,62.0,57.0,492,4.45,4.46,2.76
22130,1.5,Very Good,I,VS1,62.2,59.0,10164,7.27,7.3,4.53
13784,1.28,Premium,E,SI2,62.5,58.0,5620,6.93,6.89,4.32
5778,1.11,Very Good,J,SI1,62.0,58.0,3901,6.57,6.62,4.09
17362,1.01,Ideal,E,VS2,61.3,57.0,6968,6.49,6.46,3.97
25944,2.05,Premium,J,VS1,62.5,60.0,15109,8.14,8.09,5.07
5024,0.91,Ideal,F,SI2,62.2,56.0,3746,6.17,6.14,3.83
31807,0.31,Ideal,D,VS1,61.1,55.0,774,4.37,4.4,2.68
50701,0.56,Premium,F,VVS2,59.5,61.0,2290,5.36,5.33,3.18
4514,1.02,Good,F,SI2,64.2,61.0,3633,6.3,6.21,4.02
34160,0.33,Ideal,G,VS1,62.1,55.0,854,4.46,4.43,2.76
20823,1.0,Premium,E,VVS2,62.7,60.0,9050,6.34,6.32,3.97
27526,2.01,Ideal,G,SI2,61.7,57.0,18259,8.13,8.1,5.01
36929,0.41,Ideal,G,VS1,61.9,57.0,961,4.81,4.76,2.96
48264,0.46,Ideal,E,VVS1,62.5,53.0,1955,4.95,5.0,3.11
10677,1.0,Ideal,I,VS2,62.4,52.0,4841,6.41,6.45,4.02
12355,1.24,Very Good,H,SI2,61.0,59.0,5231,6.93,7.0,4.25
34278,0.31,Very Good,I,VS2,61.6,56.0,468,4.36,4.39,2.69
26566,2.02,Ideal,F,SI2,62.2,57.0,16256,8.07,8.03,5.01
2928,1.03,Very Good,H,SI2,63.1,56.0,3288,6.43,6.38,4.04
21313,1.51,Very Good,I,VS1,61.8,63.0,9467,7.28,7.34,4.52
18058,0.34,Ideal,G,VS2,60.8,56.0,616,4.53,4.55,2.76
5230,1.02,Good,I,SI2,63.6,56.0,3786,6.37,6.4,4.06
23202,2.04,Premium,J,VS2,60.9,59.0,11209,8.25,8.21,5.01
47352,0.5,Ideal,D,VS2,62.6,56.0,1845,5.08,5.05,3.17
51125,0.7,Fair,D,SI1,66.5,55.0,2339,5.51,5.47,3.65
11922,1.09,Ideal,H,SI1,62.3,55.0,5125,6.58,6.61,4.11
9461,0.92,Premium,E,VS2,61.2,62.0,4600,6.27,6.22,3.82
16132,1.22,Premium,G,SI1,61.2,60.0,6449,6.82,6.75,4.15
27066,2.74,Very Good,H,SI2,63.3,58.0,17184,8.88,8.84,5.61
29619,0.36,Ideal,J,SI1,62.3,53.0,439,4.59,4.62,2.87
47318,0.23,Very Good,E,VVS2,60.9,59.0,530,3.96,3.99,2.42
30892,0.32,Very Good,E,VVS2,62.4,56.0,744,4.34,4.38,2.72
48958,0.7,Very Good,H,SI1,62.9,56.0,2048,5.64,5.68,3.56
42394,0.46,Good,F,VVS1,66.5,55.0,1307,4.77,4.82,3.19
2884,0.84,Ideal,G,SI1,62.4,57.0,3279,6.06,6.03,3.77
51002,0.73,Very Good,F,SI1,59.3,61.0,2326,5.82,5.85,3.46
38064,0.4,Good,G,VVS1,59.1,61.0,1013,4.86,4.88,2.88
4539,1.0,Premium,H,SI2,59.1,62.0,3640,6.5,6.47,3.83
15375,0.36,Very Good,G,SI1,61.8,57.8,606,4.52,4.58,2.81
39881,0.42,Ideal,G,VVS2,62.4,55.0,1103,4.82,4.79,3.0
6093,0.9,Very Good,D,SI2,62.2,57.0,3975,6.11,6.15,3.81
19370,0.4,Good,D,SI2,63.8,54.0,622,4.7,4.73,3.01
17065,0.32,Ideal,G,SI1,63.0,56.0,612,4.38,4.35,2.75
9225,1.1,Premium,H,SI2,62.6,57.0,4558,6.6,6.56,4.12
41462,0.41,Ideal,G,VVS1,62.1,55.0,1230,4.79,4.74,2.96
9270,1.22,Premium,I,VS2,61.6,59.0,4562,6.86,6.81,4.21
34564,0.38,Ideal,H,VS1,60.6,57.0,871,4.7,4.73,2.85
22422,1.53,Very Good,H,SI1,61.3,56.0,10446,7.42,7.44,4.56
38466,0.35,Ideal,E,VVS1,60.7,55.0,1030,4.56,4.6,2.78
7522,1.01,Premium,H,SI2,61.1,59.0,4242,6.54,6.46,3.97
7845,0.77,Very Good,F,VVS1,61.1,57.0,4304,5.91,5.94,3.62
7280,1.0,Very Good,I,SI1,63.3,58.0,4200,6.34,6.3,4.0
9159,1.02,Very Good,E,SI2,63.3,58.0,4540,6.31,6.4,4.02
22894,1.14,Ideal,G,VVS1,61.1,58.0,10933,6.74,6.77,4.13
52371,0.7,Premium,F,SI1,62.1,58.0,2504,5.64,5.7,3.52
220,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08
39661,0.42,Ideal,G,VS2,61.8,56.0,1087,4.84,4.81,2.98
47254,0.51,Ideal,G,VVS2,61.6,56.0,1842,5.14,5.12,3.16
46085,0.6,Ideal,E,SI1,61.5,56.0,1738,5.39,5.51,3.35
38465,0.34,Ideal,E,VVS1,61.6,55.0,1030,4.5,4.52,2.78
26937,1.68,Ideal,G,VS1,62.0,55.0,16985,7.59,7.66,4.73
1923,0.71,Premium,F,VS1,58.6,62.0,3082,5.88,5.82,3.43
21308,1.01,Ideal,F,VVS2,63.0,57.0,9463,6.36,6.4,4.02
50143,0.6,Premium,D,VS2,59.6,59.0,2214,5.53,5.47,3.28
44175,0.58,Very Good,E,VS2,61.1,63.0,1566,5.41,5.33,3.28
23374,0.33,Premium,D,SI2,62.1,58.0,631,4.43,4.4,2.74
3685,0.81,Ideal,H,SI1,61.4,56.0,3446,6.0,6.05,3.7
3063,0.62,Ideal,G,IF,61.8,56.0,3310,5.45,5.48,3.38
12021,1.0,Premium,F,SI1,62.5,59.0,5152,6.39,6.34,3.98
37880,0.43,Ideal,G,VS1,61.6,55.1,1005,4.85,4.89,3.0
46959,0.27,Ideal,H,VVS2,62.2,56.0,527,4.15,4.18,2.59
32254,0.3,Premium,E,VVS2,60.1,59.0,789,4.32,4.37,2.61
39705,0.4,Very Good,F,VS1,62.2,57.6,1089,4.74,4.76,2.96
9542,1.17,Ideal,J,VS2,62.1,56.0,4619,6.8,6.75,4.21
44142,0.51,Ideal,F,VS2,62.7,57.0,1562,5.11,5.06,3.19
16383,1.04,Very Good,G,VS1,63.2,56.0,6541,6.39,6.46,4.06
43907,0.39,Very Good,E,I1,62.8,57.0,511,4.61,4.66,2.91
35661,0.31,Good,G,VVS2,63.8,56.0,907,4.28,4.24,2.72
21046,0.31,Ideal,H,VVS2,61.8,56.0,625,4.34,4.36,2.69
47323,0.23,Very Good,D,VVS2,61.3,59.0,530,3.91,3.99,2.42
31708,0.31,Premium,G,VS1,59.9,59.0,770,4.44,4.41,2.65
12410,1.01,Ideal,E,SI1,62.0,57.0,5235,6.38,6.45,3.98
4154,1.07,Premium,G,I1,62.3,60.0,3547,6.55,6.51,4.07
10566,1.0,Premium,H,SI1,58.3,60.0,4816,6.5,6.44,3.77
25692,0.4,Very Good,E,SI2,62.1,60.0,644,4.65,4.69,2.9
37127,0.52,Ideal,D,I1,61.1,57.0,971,5.18,5.2,3.17
35328,0.38,Ideal,H,VVS2,62.1,54.0,898,4.62,4.66,2.88
26709,0.32,Ideal,F,VS2,62.4,55.0,645,4.41,4.43,2.76
19984,1.11,Very Good,F,VS1,60.7,55.0,8528,6.69,6.71,4.07
16438,1.04,Premium,G,VS2,61.0,59.0,6564,6.53,6.42,3.95
20120,1.22,Premium,G,VS1,62.2,59.0,8583,6.82,6.87,4.26
29451,0.33,Ideal,E,SI1,61.6,55.0,702,4.47,4.49,2.76
24507,1.2,Premium,E,VVS2,62.3,59.0,12787,6.83,6.79,4.24
47751,0.54,Ideal,D,VS2,61.1,57.0,1892,5.19,5.29,3.2
6909,0.9,Very Good,H,VS1,61.8,56.0,4136,6.16,6.18,3.81
45726,0.72,Very Good,H,SI2,63.3,57.0,1698,5.7,5.67,3.6
13928,0.96,Ideal,F,VS1,61.2,56.0,5666,6.38,6.34,3.89
19464,1.16,Premium,G,VS1,61.9,58.0,8107,6.76,6.72,4.17
34443,0.31,Ideal,E,VVS2,61.3,55.0,864,4.34,4.37,2.67
52306,0.25,Good,D,VVS2,57.5,61.0,548,4.16,4.19,2.4
47296,0.3,Good,F,SI2,63.4,56.0,394,4.26,4.29,2.71
29563,0.3,Very Good,G,VVS1,62.4,59.0,705,4.25,4.31,2.67
48392,0.7,Very Good,G,SI2,58.2,63.0,1966,5.82,5.79,3.38
39632,0.34,Ideal,E,VVS1,62.2,56.0,1084,4.46,4.44,2.77
11844,1.31,Very Good,J,SI2,61.8,59.0,5100,6.96,7.02,4.32
16565,1.01,Very Good,G,VS1,63.2,58.0,6618,6.38,6.34,4.02
35788,0.36,Ideal,H,IF,61.6,56.0,912,4.56,4.59,2.82
13511,1.06,Premium,G,VS2,62.5,58.0,5543,6.52,6.47,4.06
16053,1.01,Premium,G,VS1,59.8,59.0,6412,6.5,6.55,3.9
51629,0.72,Fair,G,VS1,66.4,57.0,2396,5.6,5.51,3.69
20152,1.03,Ideal,G,VVS1,62.4,57.0,8608,6.47,6.39,4.01
38844,0.47,Ideal,I,VVS1,61.0,56.0,1050,5.02,5.04,3.07
6620,1.35,Premium,J,SI1,62.1,54.0,4082,7.15,7.09,4.42
29900,0.3,Very Good,D,VS2,62.2,58.0,710,4.25,4.3,2.66
30827,0.33,Premium,I,VVS2,62.1,56.0,743,4.45,4.41,2.75
38945,0.31,Premium,H,VS2,62.7,59.0,489,4.29,4.32,2.7
1434,0.81,Very Good,E,SI1,59.5,60.0,2973,6.05,6.09,3.61
51137,0.78,Ideal,E,SI2,60.8,56.0,2340,5.98,5.92,3.62
49622,0.32,Very Good,F,SI2,63.1,56.0,540,4.38,4.34,2.75
5057,0.3,Ideal,D,SI2,60.2,56.0,574,4.4,4.37,2.64
20799,1.6,Premium,J,VS1,61.3,59.0,9032,7.52,7.49,4.6
53471,0.75,Ideal,I,VS2,60.4,59.0,2680,5.86,5.9,3.55
50944,0.73,Ideal,G,SI1,62.3,54.0,2321,5.81,5.78,3.61
12297,1.21,Premium,H,SI2,60.9,61.0,5218,6.88,6.82,4.17
2100,0.93,Ideal,G,SI2,61.0,54.0,3114,6.35,6.32,3.87
15942,2.03,Premium,G,I1,61.1,58.0,6377,8.11,8.06,4.94
26710,0.32,Ideal,H,VVS2,61.8,55.0,645,4.38,4.42,2.72
49128,0.56,Ideal,D,VS2,61.2,56.0,2066,5.35,5.3,3.26
16722,0.32,Ideal,F,VS2,60.9,56.0,610,4.41,4.45,2.7
5727,0.27,Very Good,D,VVS2,64.6,53.0,575,4.04,4.1,2.63
16497,2.01,Very Good,H,I1,58.1,63.0,6592,8.3,8.19,4.79
53921,0.7,Very Good,E,VS2,62.4,60.0,2755,5.57,5.61,3.49
27007,2.01,Very Good,E,SI2,60.6,59.0,17118,8.11,8.25,4.96
5743,1.03,Ideal,J,SI1,62.3,56.0,3893,6.51,6.45,4.04
31497,0.34,Ideal,G,VS2,61.5,57.0,765,4.51,4.47,2.76
18986,1.01,Ideal,G,VS2,62.1,59.0,7814,6.39,6.43,3.98
12757,1.0,Very Good,E,SI1,59.4,63.0,5322,6.47,6.42,3.83
28600,0.3,Ideal,G,VS2,62.2,57.0,675,4.32,4.26,2.67
28255,0.33,Ideal,F,VS2,62.3,55.0,666,4.42,4.47,2.77
16818,1.08,Good,G,VS2,58.9,58.0,6708,6.69,6.75,3.96
33469,0.32,Ideal,F,VS2,61.2,56.0,828,4.44,4.41,2.71
3167,0.75,Ideal,F,SI1,61.5,55.0,3336,5.88,5.9,3.62
29530,0.41,Ideal,F,SI2,61.1,57.0,703,4.8,4.86,2.95
27211,2.0,Ideal,F,SI2,62.9,56.0,17534,7.94,8.01,5.02
53747,0.71,Very Good,D,SI1,61.1,56.0,2724,5.74,5.78,3.52
35769,0.4,Ideal,E,VS2,61.1,56.0,912,4.75,4.77,2.91
1836,0.71,Ideal,G,SI1,61.5,55.0,3061,5.75,5.79,3.55
52962,0.24,Very Good,E,VVS1,62.5,59.0,552,3.96,4.01,2.49
53035,0.71,Very Good,G,SI1,62.8,55.0,2604,5.68,5.73,3.58
37898,0.41,Ideal,F,VS1,61.9,55.0,1007,4.76,4.8,2.96
49165,0.58,Premium,G,VS1,59.9,58.0,2071,5.49,5.37,3.25
30278,0.3,Very Good,D,SI2,61.2,60.0,447,4.28,4.31,2.63
23608,1.56,Ideal,H,VS2,61.5,56.0,11636,7.5,7.46,4.6
38216,0.43,Premium,E,SI1,62.4,56.0,1016,4.83,4.79,3.0
24335,2.02,Very Good,J,SI1,59.8,59.9,12598,8.16,8.21,4.9
26080,1.68,Very Good,F,VS2,61.1,60.0,15309,7.63,7.7,4.68
17905,0.85,Ideal,D,VVS1,62.0,56.0,7230,6.05,6.11,3.77
52720,0.79,Premium,F,SI2,62.2,57.0,2555,5.94,5.9,3.68
50723,0.55,Ideal,F,VVS2,61.5,57.0,2294,5.24,5.27,3.23
43996,0.3,Good,J,VS1,63.4,57.0,394,4.23,4.26,2.69
15478,1.23,Premium,I,VS2,59.3,59.0,6199,7.13,6.97,4.18
16252,1.14,Very Good,G,VS2,61.3,57.0,6500,6.69,6.78,4.13
44808,0.5,Premium,G,VS1,59.9,59.0,1624,5.12,5.16,3.08
41716,0.47,Good,F,VS1,60.0,60.1,1243,5.04,5.06,3.03
26003,1.66,Very Good,G,VS2,63.2,56.0,15229,7.61,7.49,4.77
6293,0.9,Very Good,H,VS1,63.0,62.0,4021,6.09,6.0,3.81
47536,0.51,Very Good,G,VVS1,63.2,59.0,1871,5.04,5.09,3.2
23558,1.51,Premium,E,SI1,61.5,61.0,11565,7.41,7.31,4.53
52725,0.82,Ideal,I,VS1,61.4,57.0,2557,5.98,6.03,3.69
25048,0.3,Very Good,F,SI1,63.5,59.0,641,4.22,4.19,2.67
31364,0.33,Ideal,G,VVS2,60.4,57.0,761,4.48,4.52,2.72
4039,1.0,Premium,J,SI1,61.9,62.0,3528,6.36,6.33,3.93
1860,0.8,Ideal,F,SI2,62.5,56.0,3066,5.94,5.99,3.73
10789,1.26,Ideal,J,SI2,62.8,54.0,4860,6.91,6.89,4.33
156,0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62
30035,0.35,Ideal,E,VS1,61.5,57.0,718,4.52,4.55,2.79
42462,0.55,Ideal,F,SI1,61.8,55.0,1316,5.22,5.27,3.24
22295,1.7,Very Good,I,SI1,63.1,57.0,10341,7.51,7.46,4.72
21512,1.2,Very Good,G,VVS1,62.8,56.0,9609,6.73,6.75,4.23
20962,1.2,Ideal,F,VS2,62.7,57.0,9176,6.71,6.76,4.22
47822,0.72,Ideal,J,VS2,60.8,59.0,1904,5.76,5.81,3.52
46739,0.5,Very Good,H,IF,61.0,60.0,1799,5.08,5.12,3.11
24020,1.54,Ideal,F,SI1,61.9,56.0,12195,7.44,7.38,4.59
13883,1.1,Premium,H,VS2,61.4,58.0,5652,6.68,6.62,4.08
26416,2.01,Premium,I,VS2,60.3,62.0,15939,8.13,8.08,4.89
44840,0.56,Ideal,E,VS2,61.6,57.0,1625,5.3,5.32,3.27
20150,1.5,Premium,J,VVS2,61.8,60.0,8603,7.33,7.36,4.54
35992,0.42,Ideal,H,VVS2,62.4,56.0,921,4.78,4.8,2.99
12523,1.11,Ideal,E,SI2,61.2,55.0,5262,6.68,6.72,4.1
1803,0.75,Ideal,E,SI1,61.3,57.0,3053,5.84,5.91,3.6
38193,0.41,Premium,D,SI1,62.9,58.0,1015,4.75,4.7,2.97
47667,0.34,Ideal,G,SI1,61.8,54.4,531,4.49,4.52,2.79
23319,1.7,Ideal,I,VS2,61.7,56.0,11360,7.72,7.64,4.74
18605,1.16,Very Good,G,VS1,62.9,55.0,7589,6.65,6.74,4.21
27785,0.44,Very Good,F,SI2,62.8,60.0,648,4.82,4.86,3.04
2439,0.7,Ideal,H,VS1,61.2,55.0,3185,5.71,5.76,3.51
8564,1.01,Very Good,G,SI2,59.3,61.0,4435,6.56,6.52,3.88
22409,1.21,Very Good,E,VS1,60.0,58.0,10430,6.89,6.97,4.16
28273,0.23,Very Good,D,VS2,62.7,58.0,362,3.86,3.89,2.43
41950,0.23,Very Good,F,VVS2,61.2,55.0,505,3.97,4.01,2.44
15276,1.01,Ideal,G,VS2,60.4,61.0,6132,6.45,6.5,3.91
35760,0.44,Ideal,I,VVS2,60.8,56.0,912,4.9,4.93,2.99
8991,1.28,Ideal,G,I1,61.6,57.0,4509,6.96,6.93,4.28
19498,1.21,Ideal,H,VVS2,61.3,57.0,8131,6.92,6.87,4.23
36415,0.31,Ideal,D,VS2,61.8,56.0,942,4.36,4.32,2.68
33326,0.35,Ideal,D,SI1,62.7,56.0,827,4.51,4.49,2.82
662,0.72,Very Good,F,VS1,60.2,59.0,2846,5.79,5.84,3.5
50258,0.71,Premium,D,SI2,59.7,60.0,2235,5.84,5.79,3.47
53334,0.81,Very Good,I,VS1,63.2,59.0,2655,5.9,5.84,3.71
28502,0.4,Ideal,E,SI1,62.2,54.0,673,4.74,4.78,2.96
30639,0.41,Ideal,D,SI1,62.3,56.0,735,4.74,4.79,2.97
5411,0.9,Ideal,I,VS2,62.6,54.3,3820,6.14,6.17,3.86
29576,0.41,Ideal,E,SI1,61.8,56.0,705,4.77,4.78,2.95
21796,1.0,Very Good,F,VVS1,61.1,57.0,9870,6.36,6.51,3.93
37223,0.43,Ideal,F,SI1,62.5,56.0,975,4.84,4.82,3.02
45180,0.51,Ideal,E,VS2,61.8,57.0,1656,5.14,5.15,3.18
12018,1.0,Premium,F,SI1,59.8,59.0,5151,6.55,6.49,3.9
11642,0.88,Very Good,F,VVS2,62.0,59.0,5052,6.09,6.13,3.79
32441,0.43,Very Good,F,SI1,62.9,59.0,792,4.79,4.84,3.03
5464,1.23,Very Good,H,I1,61.9,60.6,3835,6.79,6.85,4.22
8865,0.9,Ideal,G,VS2,62.0,57.0,4482,6.22,6.19,3.85
381,0.7,Good,F,VS1,62.8,61.0,2810,5.57,5.61,3.51
10643,0.93,Premium,G,VS2,62.2,59.0,4834,6.21,6.26,3.88
19189,1.01,Ideal,G,VVS2,62.5,56.0,7941,6.38,6.41,4.0
30094,0.32,Ideal,H,VS1,62.9,54.0,720,4.41,4.37,2.76
28801,0.27,Very Good,E,VVS1,61.3,57.0,682,4.15,4.18,2.55
52605,0.84,Very Good,J,VS1,61.9,58.0,2544,6.03,6.05,3.74
